userid,inherent_interest
1,4.4993178717598905
2,4.7
3,4.913043478260869
4,4.427083333333333
5,4.173913043478261
6,4.453488372093023
7,4.2592592592592595
8,4.25984251968504
9,4.242666666666667
10,4.381981981981982
11,4.3164556962025316
12,4.78
13,3.9743589743589745
14,4.27027027027027
15,3.2658227848101267
16,4.256521739130434
17,4.291666666666667
18,4.24
19,4.346153846153846
20,4.241379310344827
21,4.0
22,4.381818181818182
23,4.287878787878788
24,4.357575757575757
25,4.181818181818182
26,4.0
27,4.1
28,4.22093023255814
29,3.8645833333333335
30,4.4
31,4.202127659574468
32,3.2795698924731185
33,4.315789473684211
34,4.733668341708543
35,4.3584905660377355
36,4.484848484848484
37,4.405063291139241
38,4.0
39,3.878787878787879
40,4.3580246913580245
41,4.2
42,4.269230769230769
43,4.357142857142857
44,4.372549019607843
45,4.482142857142857
46,4.414634146341464
47,4.743778801843318
48,4.684210526315789
49,3.8513513513513513
50,4.2
51,4.525
52,4.4523809523809526
53,3.5416666666666665
54,4.428571428571429
55,4.8
56,4.545454545454546
57,4.351351351351352
58,4.0588235294117645
59,4.088888888888889
60,4.5
61,4.391003460207613
62,4.0
63,4.395061728395062
64,4.21875
65,4.059033989266547
66,4.2218543046357615
67,4.162162162162162
68,4.37123745819398
69,4.370967741935484
70,4.363636363636363
71,4.0625
72,3.52258064516129
73,4.0
74,4.984
75,3.7111801242236027
76,4.121951219512195
77,4.228571428571429
78,4.923076923076923
79,4.8
80,4.375
81,3.753846153846154
82,4.0
83,4.320610687022901
84,4.404761904761905
85,4.176470588235294
86,4.11864406779661
87,4.344827586206897
88,4.0588235294117645
89,3.25
90,4.115384615384615
91,3.911917098445596
92,4.4375
93,4.4186046511627906
94,3.9444444444444446
95,4.186046511627907
96,3.3333333333333335
97,4.105263157894737
98,4.45016077170418
99,4.678571428571429
100,4.05
101,3.8222222222222224
102,4.366197183098592
103,4.333333333333333
104,3.9183673469387754
105,4.516129032258065
106,4.103703703703704
107,4.3076923076923075
108,4.164179104477612
109,4.034883720930233
110,4.534883720930233
111,4.230366492146596
112,4.554347826086956
113,4.2272727272727275
114,4.571428571428571
115,4.355072463768116
116,4.513812154696133
117,4.604938271604938
118,4.4411764705882355
119,4.421052631578948
120,4.5
121,4.4036697247706424
122,4.761061946902655
123,4.3
124,3.8333333333333335
125,4.791666666666667
126,4.363636363636363
127,4.447058823529412
128,3.9491525423728815
129,4.537878787878788
130,3.6266666666666665
131,4.875
132,4.142857142857143
133,4.578947368421052
134,4.0
135,3.2555555555555555
136,3.6914893617021276
137,4.705882352941177
138,3.358974358974359
139,4.545454545454546
140,4.222222222222222
141,4.201438848920863
142,3.9172413793103447
143,4.258064516129032
144,4.1375
145,4.673076923076923
146,4.857142857142857
147,4.214285714285714
148,4.8
149,4.333333333333333
150,4.0
151,3.781132075471698
152,4.696428571428571
153,4.565217391304348
154,3.9545454545454546
155,4.7
156,4.416666666666667
157,4.368421052631579
158,4.1875
159,3.9571428571428573
160,4.142857142857143
161,4.04
162,4.714285714285714
163,4.368421052631579
164,3.75
165,3.7142857142857144
166,4.366071428571429
167,4.7936507936507935
168,4.158536585365853
169,4.222222222222222
170,4.2727272727272725
171,3.9130434782608696
172,4.571428571428571
173,4.266666666666667
174,4.411764705882353
175,3.9302325581395348
176,4.739130434782608
177,3.914285714285714
178,4.324324324324325
179,4.055555555555555
180,4.114754098360656
181,4.162162162162162
182,3.5757575757575757
183,3.783132530120482
184,4.265625
185,3.727272727272727
186,4.574074074074074
187,4.178571428571429
188,4.261904761904762
189,4.525
190,4.15
191,4.2439024390243905
192,4.102564102564102
193,4.208333333333333
194,4.1271056661562024
195,3.7216117216117217
196,4.434628975265018
197,4.671875
198,3.945736434108527
199,4.571428571428571
200,4.209580838323354
201,4.160919540229885
202,4.636363636363637
203,4.5256410256410255
204,4.16546762589928
205,4.32
206,4.173913043478261
207,4.151515151515151
208,4.258064516129032
209,4.555555555555555
210,3.881188118811881
211,4.4605263157894735
212,4.2835820895522385
213,4.714285714285714
214,3.6875
215,4.571428571428571
216,3.5405405405405403
217,4.6
218,3.873015873015873
219,4.310344827586207
220,3.8660714285714284
221,4.354166666666667
222,4.410714285714286
223,4.042944785276074
224,4.169491525423729
225,4.333333333333333
226,4.242424242424242
227,4.003472222222222
228,4.0
229,4.518518518518518
230,4.3561643835616435
231,4.348993288590604
232,4.4941176470588236
233,4.256281407035176
234,3.8645161290322583
235,4.295121951219512
236,4.311475409836065
237,4.356877323420075
238,3.6575342465753424
239,3.955056179775281
240,4.059760956175299
241,4.318181818181818
242,3.93801652892562
243,4.55700325732899
244,3.8188976377952755
245,4.4186046511627906
246,3.9053030303030303
247,3.8127853881278537
248,4.038834951456311
249,3.8229665071770333
250,3.0923076923076924
251,3.4285714285714284
252,4.551020408163265
253,4.573122529644269
254,4.434782608695652
255,4.436708860759493
256,4.398854961832061
257,4.016270337922403
258,4.423076923076923
259,3.6912225705329154
260,3.9612756264236904
261,4.1550802139037435
262,4.9411764705882355
263,4.395348837209302
264,4.083916083916084
265,4.054054054054054
266,4.485207100591716
267,4.4324324324324325
268,4.566037735849057
269,4.247191011235955
270,4.444444444444445
271,3.923076923076923
272,4.061068702290076
273,4.07378640776699
274,3.8857142857142857
275,4.385542168674699
276,4.241525423728813
277,4.1419753086419755
278,4.095238095238095
279,3.7526315789473683
280,4.0
281,4.459649122807018
282,4.00990099009901
283,4.070796460176991
284,4.344370860927152
285,4.478260869565218
286,3.55
287,4.216216216216216
288,4.166666666666667
289,4.829268292682927
290,4.363636363636363
291,4.334951456310679
292,4.333333333333333
293,4.305882352941176
294,4.097701149425287
295,4.2105263157894735
296,4.133333333333334
297,4.195121951219512
298,4.485380116959064
299,4.25
300,4.195121951219512
301,4.294117647058823
302,4.416666666666667
303,4.303030303030303
304,4.368421052631579
305,3.896694214876033
306,3.5
307,4.02803738317757
308,4.429718875502008
309,3.7464788732394365
310,4.357142857142857
311,3.8260869565217392
312,4.4
313,4.6
314,4.088888888888889
315,4.0
316,3.8372093023255816
317,4.104166666666667
318,4.16
319,3.9411764705882355
320,4.769230769230769
321,3.878787878787879
322,4.046875
323,4.666666666666667
324,4.44
325,4.285714285714286
326,3.836734693877551
327,4.230769230769231
328,4.646892655367232
329,4.578947368421052
330,4.078125
331,4.380399742101869
332,3.9411764705882355
333,4.176923076923077
334,4.133333333333334
335,3.4609929078014185
336,4.428571428571429
337,3.9136904761904763
338,4.0
339,4.182795698924731
340,3.25
341,4.228070175438597
342,3.9310344827586206
343,4.762529832935561
344,4.414285714285715
345,3.8333333333333335
346,4.522222222222222
347,3.2037735849056603
348,3.92
349,4.0588235294117645
350,3.4651162790697674
351,4.273504273504273
352,4.162162162162162
353,3.2162162162162162
354,4.090909090909091
355,3.5686274509803924
356,3.9263803680981595
357,3.579225352112676
358,3.857142857142857
359,4.228070175438597
360,4.238095238095238
361,4.461538461538462
362,4.111111111111111
363,4.237288135593221
364,3.8
365,4.875
366,4.357142857142857
367,4.209677419354839
368,3.7
369,3.890625
370,4.0
371,4.666666666666667
372,3.870967741935484
373,4.346153846153846
374,4.219178082191781
375,3.32
376,3.8451612903225807
377,4.5
378,4.392857142857143
379,4.482758620689655
380,4.264705882352941
381,4.735294117647059
382,3.5555555555555554
383,3.958904109589041
384,4.066115702479339
385,4.521739130434782
386,4.171052631578948
387,4.285714285714286
388,4.428571428571429
389,5.0
390,4.11214953271028
391,4.280542986425339
392,3.4070796460176993
393,3.761431411530815
394,4.5
395,4.226415094339623
396,3.9594594594594597
397,4.172413793103448
398,4.588235294117647
399,4.394557823129252
400,3.967741935483871
401,3.75
402,3.1666666666666665
403,4.928571428571429
404,4.454545454545454
405,4.384615384615385
406,3.8333333333333335
407,4.717948717948718
408,4.056179775280899
409,4.388349514563107
410,4.090909090909091
411,4.71875
412,3.574074074074074
413,4.173913043478261
414,4.6923076923076925
415,3.7156177156177157
416,3.788732394366197
417,4.047058823529412
418,4.428571428571429
419,4.427536231884058
420,4.10126582278481
421,4.421875
422,4.888888888888889
423,4.513513513513513
424,4.416666666666667
425,4.6455696202531644
426,4.709677419354839
427,4.5210084033613445
428,3.8333333333333335
429,4.679012345679013
430,4.375
431,4.583333333333333
432,4.571428571428571
433,3.933333333333333
434,4.073846153846154
435,3.8
436,4.195454545454545
437,4.173913043478261
438,4.220779220779221
439,4.022653721682848
440,4.580645161290323
441,4.607476635514018
442,4.035714285714286
443,4.647540983606557
444,4.090909090909091
445,4.875
446,4.166666666666667
447,4.487179487179487
448,4.882352941176471
449,4.055555555555555
450,3.9705882352941178
451,4.0
452,4.685714285714286
453,4.161616161616162
454,3.8780487804878048
455,3.586206896551724
456,4.166666666666667
457,3.8285714285714287
458,4.24
459,4.0
460,4.45
461,4.0212765957446805
462,4.3604651162790695
463,4.571428571428571
464,4.133333333333334
465,4.363636363636363
466,3.74468085106383
467,4.6
468,3.9130434782608696
469,4.4789915966386555
470,3.0588235294117645
471,3.825242718446602
472,3.911111111111111
473,4.2
474,3.710526315789474
475,4.25
476,3.8846153846153846
477,4.5
478,4.148936170212766
479,3.909090909090909
480,3.6216666666666666
481,4.2745098039215685
482,3.7777777777777777
483,4.068783068783069
484,4.090909090909091
485,4.321428571428571
486,3.5
487,4.366666666666666
488,3.4545454545454546
489,4.584615384615384
490,4.026086956521739
491,4.625
492,4.0227272727272725
493,4.531914893617022
494,2.9
495,4.25
496,4.5321637426900585
497,3.765151515151515
498,4.083333333333333
499,4.085714285714285
500,4.540983606557377
501,4.372093023255814
502,4.188405797101449
503,4.294117647058823
504,3.7142857142857144
505,4.363636363636363
506,4.214285714285714
507,3.740740740740741
508,3.769230769230769
509,4.377358490566038
510,3.6
511,3.782608695652174
512,4.0
513,4.5
514,4.4
515,4.075
516,4.3061224489795915
517,4.269230769230769
518,4.774193548387097
519,4.0
520,4.5
521,3.5714285714285716
522,3.8541666666666665
523,3.8421052631578947
524,4.261363636363637
525,3.954198473282443
526,4.3354430379746836
527,4.142857142857143
528,4.028169014084507
529,4.03030303030303
530,4.765217391304348
531,3.6
532,4.096774193548387
533,4.4375
534,4.175
535,3.713846153846154
536,3.8333333333333335
537,4.285714285714286
538,4.666666666666667
539,4.090909090909091
540,3.86046511627907
541,4.2
542,4.620689655172414
543,3.6666666666666665
544,4.315789473684211
545,4.3125
546,3.9722222222222223
547,4.333333333333333
548,4.326315789473684
549,4.3125
550,3.84
551,4.137614678899083
552,3.8636363636363638
553,4.166666666666667
554,3.5245901639344264
555,4.5
556,4.1
557,4.875
558,4.444444444444445
559,4.684210526315789
560,3.5789473684210527
561,4.295454545454546
562,3.8181818181818183
563,3.6666666666666665
564,4.577586206896552
565,4.204081632653061
566,4.2
567,4.75
568,4.533783783783784
569,4.066666666666666
570,3.5
571,3.9
572,4.048780487804878
573,4.25
574,3.875
575,4.171385991058123
576,4.705882352941177
577,3.7872340425531914
578,3.88
579,4.41578947368421
580,4.729411764705882
581,4.201342281879195
582,4.466666666666667
583,3.930894308943089
584,4.461538461538462
585,4.333333333333333
586,4.285714285714286
587,3.9423076923076925
588,3.8666666666666667
589,4.5
590,4.461538461538462
591,4.487804878048781
592,3.9285714285714284
593,4.0962962962962965
594,4.904761904761905
595,3.8333333333333335
596,4.4
597,4.769230769230769
598,4.833333333333333
599,4.666666666666667
600,4.207207207207207
601,3.4609929078014185
602,3.9285714285714284
603,4.875
604,4.583333333333333
605,4.357142857142857
606,3.6666666666666665
607,4.571428571428571
608,4.368421052631579
609,4.578947368421052
610,3.76
611,4.230769230769231
612,4.375
613,4.769230769230769
614,4.7
615,4.75
616,4.0
617,3.727272727272727
618,4.441860465116279
619,4.333333333333333
620,3.84375
621,4.444444444444445
622,3.7142857142857144
623,4.714285714285714
624,3.529850746268657
625,4.8
626,4.486486486486487
627,4.44
628,4.666666666666667
629,4.526315789473684
630,4.048780487804878
631,4.5625
632,4.355555555555555
633,4.5
634,4.08
635,4.610722610722611
636,4.117647058823529
637,4.394366197183099
638,4.461538461538462
639,3.75
640,3.8289473684210527
641,4.133333333333334
642,4.55
643,4.181818181818182
644,2.7241379310344827
645,4.328125
646,4.262626262626263
647,3.65
648,4.037037037037037
649,4.0625
650,4.420212765957447
651,4.040268456375839
652,4.2592592592592595
653,4.333333333333333
654,4.0
655,4.1875
656,4.526315789473684
657,4.40625
658,4.625
659,4.444444444444445
660,4.45945945945946
661,4.333333333333333
662,3.979591836734694
663,4.111111111111111
664,3.36
665,4.0588235294117645
666,4.190476190476191
667,4.457142857142857
668,4.354838709677419
669,3.8666666666666667
670,4.233333333333333
671,3.081081081081081
672,4.375
673,4.424242424242424
674,4.294117647058823
675,4.75
676,3.9166666666666665
677,5.0
678,4.5
679,4.212121212121212
680,4.166666666666667
681,3.9696969696969697
682,4.614035087719298
683,4.7272727272727275
684,4.5625
685,4.428571428571429
686,4.0
687,4.0
688,4.090909090909091
689,4.525
690,4.375
691,4.848484848484849
692,4.666666666666667
693,4.460905349794238
694,4.1
695,4.00763358778626
696,4.2272727272727275
697,3.876543209876543
698,3.9523809523809526
699,4.456521739130435
